                mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_D0          0.287  0.012   0.266    0.300      0.000    0.000    2585.0    2067.0   1.00
sigma_D0       0.087  0.023   0.046    0.131      0.000    0.000    2530.0    2549.0   1.00
mu_lambda[0]  -0.261  0.049  -0.349   -0.165      0.002    0.001     609.0    1248.0   1.01
sigma_lambda   0.187  0.037   0.124    0.255      0.001    0.001    1166.0    1576.0   1.00
mu_kappa[0]   -1.463  0.128  -1.695   -1.228      0.003    0.002    1955.0    2500.0   1.00
sigma_kappa    0.405  0.115   0.191    0.616      0.003    0.002    1819.0    2321.0   1.00
mu_gamma       0.335  0.036   0.300    0.396      0.001    0.001    2483.0    1711.0   1.00
sigma_gamma    0.109  0.110   0.000    0.321      0.003    0.003    1371.0    1830.0   1.00
sigma_obs     21.081  0.233  20.653   21.518      0.003    0.003    4722.0    3325.0   1.00
tau_obs        8.342  0.461   7.489    9.206      0.006    0.007    6086.0    3339.0   1.00
